Brand,Model,Processor,RAM_GB,Storage_GB,GPU,Screen_Size,Weight_kg,Launch_Year,Customer_Rating,Review_Count,Demand_Index,Competitor_Price,Price
MSI,Model_0,Ryzen 5,8.0,2048.0,Integrated,17.3,1.1,2019,4.2,4568.0,20,1372.0,300.0
Apple,Model_1,Ryzen 9,8.0,128.0,Integrated,14.0,1.95,2023,3.0,3917.0,72,1784.0,300.0
Asus,Model_2,i3,64.0,128.0,NVIDIA RTX 3050,17.3,2.79,2018,4.0,817.0,79,1383.0,300.0
MSI,Model_3,i7,8.0,512.0,NVIDIA RTX 3060,14.0,3.05,2022,3.2,196.0,53,1911.0,315.75
Lenovo,Model_4,i5,32.0,1024.0,NVIDIA RTX 3080,17.3,2.91,2021,4.2,4837.0,23,751.0,317.27
Razer,Model_5,M2,8.0,256.0,NVIDIA GTX 1650,13.3,0.92,2018,4.5,4534.0,36,2124.0,334.79
Asus,Model_6,Ryzen 7,64.0,128.0,NVIDIA RTX 3050,13.3,1.29,2018,4.4,1317.0,23,2351.0,496.32
Asus,Model_7,i7,8.0,2048.0,NVIDIA RTX 3050,13.3,1.74,2022,4.4,2294.0,62,1679.0,423.1
MSI,Model_8,M1,32.0,512.0,NVIDIA RTX 3080,13.3,1.32,2021,3.0,4876.0,23,2307.0,300.0
HP,Model_9,,,,,13.3,3.39,2024,,,20,,300.0
Lenovo,Model_10,i5,64.0,512.0,NVIDIA GTX 1650,13.3,2.75,2018,4.2,4241.0,90,1424.0,465.36
MSI,Model_11,Ryzen 7,4.0,256.0,NVIDIA GTX 1650,14.0,3.1,2018,3.4,4897.0,69,945.0,300.0
Lenovo,Model_12,Ryzen 9,4.0,256.0,NVIDIA RTX 3080,16.0,1.41,2021,3.6,3864.0,92,1869.0,301.11
Lenovo,Model_13,i5,4.0,128.0,Integrated,17.3,1.78,2020,2.6,4276.0,80,478.0,300.0
Razer,Model_14,i5,16.0,512.0,NVIDIA RTX 3050,13.3,1.83,2018,3.1,2216.0,54,1659.0,358.09
Asus,Model_15,i3,16.0,512.0,NVIDIA RTX 3070,14.0,0.8,2019,2.6,3568.0,27,2781.0,365.45
Apple,Model_16,M1,4.0,2048.0,NVIDIA GTX 1650,14.0,3.05,2021,4.7,1590.0,43,1288.0,302.78
Razer,Model_17,i3,64.0,2048.0,NVIDIA GTX 1650,14.0,2.59,2018,3.1,971.0,55,1505.0,548.62
Razer,Model_18,M2,32.0,128.0,NVIDIA RTX 3080,16.0,3.22,2022,3.9,3857.0,69,2949.0,300.0
Lenovo,Model_19,Ryzen 7,32.0,128.0,NVIDIA RTX 3060,17.3,3.02,2023,2.6,3585.0,62,2390.0,406.14
Acer,Model_20,Ryzen 9,8.0,1024.0,NVIDIA RTX 3070,16.0,2.06,2019,4.2,885.0,46,1900.0,307.2
Asus,Model_21,Ryzen 9,64.0,2048.0,NVIDIA RTX 3070,15.6,1.42,2023,3.3,2428.0,51,1320.0,429.05
HP,Model_22,i7,16.0,256.0,NVIDIA GTX 1650,14.0,1.15,2023,4.7,4208.0,97,949.0,397.26
Razer,Model_23,i5,4.0,512.0,Integrated,15.6,1.93,2018,4.7,1011.0,37,2461.0,300.0
Apple,Model_24,M2,8.0,128.0,NVIDIA RTX 3060,13.3,2.12,2019,3.3,3394.0,47,791.0,300.0
Acer,Model_25,M1,32.0,512.0,NVIDIA RTX 3070,13.3,2.43,2019,4.8,4076.0,48,2757.0,354.76
Acer,Model_26,Ryzen 9,16.0,512.0,NVIDIA GTX 1650,16.0,1.88,2020,5.0,2855.0,35,2833.0,373.1
HP,Model_27,M2,16.0,1024.0,NVIDIA RTX 3070,17.3,2.49,2023,4.6,1491.0,66,1780.0,300.67
Razer,Model_28,i9,4.0,2048.0,AMD Radeon RX 6600M,15.6,2.03,2019,4.6,3311.0,78,1373.0,302.76
Apple,Model_29,i9,32.0,128.0,NVIDIA RTX 3060,17.3,1.79,2020,3.1,667.0,50,739.0,342.13
Asus,Model_30,,,,,16.0,0.75,2021,,,23,,415.41
Dell,Model_31,M1,16.0,128.0,AMD Radeon RX 6600M,13.3,3.25,2020,2.7,432.0,56,1445.0,323.32
Apple,Model_32,i7,4.0,256.0,NVIDIA RTX 3050,17.3,0.92,2022,2.7,3691.0,36,2738.0,566.69
HP,Model_33,Ryzen 9,64.0,1024.0,AMD Radeon RX 6600M,17.3,1.37,2024,5.0,4276.0,58,2753.0,516.33
Acer,Model_34,i5,32.0,256.0,NVIDIA RTX 3080,13.3,1.68,2018,3.3,2720.0,67,1338.0,337.88
Asus,Model_35,i5,16.0,128.0,NVIDIA RTX 3080,15.6,2.27,2021,4.4,462.0,65,1247.0,300.0
Apple,Model_36,Ryzen 9,64.0,128.0,NVIDIA GTX 1650,13.3,2.57,2024,4.5,2407.0,67,841.0,300.0
